 # mh   scale_ggh   scale_bbh   d(singleH)   Chisq_mu   Chisq    ndf    rate(singleH)    rate(singleH->bb)
 #---------------------------------------------------------------------------------------------------------#
   126.00000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        186.10945937803766        209.61691491746618               89   0.0000000000000000        0.0000000000000000     
   126.00000000000000        0.0000000000000000       0.10000000000000001       0.20000000000000001        183.24264859411841        206.75010413354696               89   1.0713844831905782E-004   2.9679089004145113E-006
   126.00000000000000        0.0000000000000000       0.20000000000000001       0.20000000000000001        177.68627268763825        201.19372822706677               89   4.2855379327623130E-004   4.5374316255315755E-005
   126.00000000000000        0.0000000000000000       0.30000000000000004       0.20000000000000001        170.36293571892540        193.87039125835406               89   9.6424603487152048E-004   2.1385412931818184E-004
   126.00000000000000        0.0000000000000000       0.40000000000000002       0.20000000000000001        163.40995566617889        186.91741120560724               89   1.7142151731049252E-003   6.1633438935243675E-004
   126.00000000000000        0.0000000000000000       0.50000000000000000       0.20000000000000001        158.57509597961487        182.08255151904342               89   2.6784612079764451E-003   1.3516124299508311E-003
   126.00000000000000        0.0000000000000000       0.60000000000000009       0.20000000000000001        156.06205788216957        179.56951342159806               89   3.8569841394860819E-003   2.4927006998562728E-003
   126.00000000000000        0.0000000000000000       0.70000000000000007       0.20000000000000001        156.01911911660929        179.52657465603733               89   5.2497839676338334E-003   4.0841599031280762E-003
   126.00000000000000        0.0000000000000000       0.80000000000000004       0.20000000000000001        157.98780475788169        181.49526029730995               89   6.8568606924197008E-003   6.1473846388285713E-003
   126.00000000000000        0.0000000000000000       0.90000000000000002       0.20000000000000001        161.38655590055859        184.89401143998714               89   8.6782143138436820E-003   8.6880655868577256E-003
   126.00000000000000        0.0000000000000000        1.0000000000000000       0.20000000000000001        165.66862023914859        189.17607577857709               89   1.0713844831905781E-002   1.1702699018873865E-002
   126.00000000000000        0.0000000000000000        1.1000000000000001       0.20000000000000004        170.31382680975491        193.82128234918346               89   1.2963752246605996E-002   1.5183203740158736E-002
   126.00000000000000        0.0000000000000000        1.2000000000000002       0.20000000000000001        175.08240238541444        198.58985792484282               89   1.5427936557944328E-002   1.9119796376289647E-002
   126.00000000000000        0.0000000000000000        1.3000000000000000       0.20000000000000001        179.96602384576170        203.47347938519013               89   1.8106397765920771E-002   2.3502602007699745E-002
   126.00000000000000        0.0000000000000000        1.4000000000000001       0.20000000000000001        184.38192464771763        207.88938018714626               89   2.0999135870535333E-002   2.8322455953086034E-002
   126.00000000000000        0.0000000000000000        1.5000000000000000       0.20000000000000001        188.54355607669677        212.05101161612492               89   2.4106150871788006E-002   3.3571231421995619E-002
